county,voter_turnout,eligible_voters,turnout_percentage,precincts_reporting,precincts_completed,provisional_completed,timestamp
Alachua,"61,172","185,576",32.96%,100%,,,2020-08-19 12:01:00
Baker,"6,866","16,030",42.83%,100%,,,2020-08-19 12:01:00
Bay,"34,067","118,660",28.71%,100%,,,2020-08-19 12:01:00
Bradford,"7,333","17,205",42.62%,100%,,,2020-08-19 12:01:00
Brevard,"121,855","435,011",28.01%,100%,,,2020-08-19 12:01:00
Broward,"316,973","1,225,332",25.87%,100%,,,2020-08-19 12:01:00
Calhoun,"2,842","8,460",33.59%,100%,,,2020-08-19 12:01:00
Charlotte,"30,886","147,132",20.99%,100%,,,2020-08-19 12:01:00
Citrus,"41,526","113,031",36.74%,100%,,,2020-08-19 12:01:00
Clay,"52,041","158,250",32.89%,100%,,,2020-08-19 12:01:00
Collier,"78,776","217,278",36.26%,100%,,,2020-08-19 12:01:00
Columbia,"13,662","42,606",32.07%,100%,,,2020-08-19 12:01:00
Desoto,"3,570","13,745",25.97%,100%,,,2020-08-19 12:01:00
Dixie,"3,762","10,142",37.09%,100%,,,2020-08-19 12:01:00
Duval,"161,837","637,753",25.38%,100%,,,2020-08-19 12:01:00
Escambia,"57,397","174,857",32.83%,100%,,,2020-08-19 12:01:00
Flagler,"27,029","88,806",30.44%,100%,,,2020-08-19 12:01:00
Franklin,"3,162","8,267",38.25%,100%,,,2020-08-19 12:01:00
Gadsden,"13,474","30,805",43.74%,100%,,,2020-08-19 12:01:00
Gilchrist,"4,658","12,151",38.33%,100%,,,2020-08-19 12:01:00
Glades,"2,498","6,877",36.32%,100%,,,2020-08-19 12:01:00
Gulf,"4,153","10,406",39.91%,100%,,,2020-08-19 12:01:00
Hamilton,"3,537","7,901",44.77%,100%,,,2020-08-19 12:01:00
Hardee,"4,269","12,715",33.57%,100%,,,2020-08-19 12:01:00
Hendry,"5,511","18,448",29.87%,100%,,,2020-08-19 12:01:00
Hernando,"39,682","142,601",27.83%,100%,,,2020-08-19 12:01:00
Highlands,"21,236","63,651",33.36%,100%,,,2020-08-19 12:01:00
Hillsborough,"227,603","897,689",25.35%,100%,,,2020-08-19 12:01:00
Holmes,"5,484","11,088",49.46%,100%,,,2020-08-19 12:01:00
Indian River,"40,395","120,443",33.54%,100%,,,2020-08-19 12:01:00
Jackson,"12,206","28,985",42.11%,100%,,,2020-08-19 12:01:00
Jefferson,"4,340","9,927",43.72%,100%,,,2020-08-19 12:01:00
Lafayette,"2,397","4,432",54.08%,100%,,,2020-08-19 12:01:00
Lake,"62,397","253,496",24.61%,100%,,,2020-08-19 12:01:00
Lee,"148,197","468,135",31.66%,100%,,,2020-08-19 12:01:00
Leon,"76,163","212,826",35.79%,100%,,,2020-08-19 12:01:00
Levy,"9,434","28,982",32.55%,100%,,,2020-08-19 12:01:00
Liberty,"2,387","4,513",52.89%,100%,,,2020-08-19 12:01:00
Madison,"4,201","11,305",37.16%,100%,,,2020-08-19 12:01:00
Manatee,"74,235","262,517",28.28%,100%,,,2020-08-19 12:01:00
Marion,"67,957","255,219",26.63%,100%,,,2020-08-19 12:01:00
Martin,"39,313","114,536",34.32%,100%,,,2020-08-19 12:01:00
Miami-Dade,"423,320","1,500,094",28.22%,100%,,,2020-08-19 12:01:00
Monroe,"19,771","54,151",36.51%,100%,,,2020-08-19 12:01:00
Nassau,"26,065","69,107",37.72%,100%,,,2020-08-19 12:01:00
Okaloosa,"43,151","142,666",30.25%,100%,,,2020-08-19 12:01:00
Okeechobee,"6,137","21,579",28.44%,100%,,,2020-08-19 12:01:00
Orange,"208,049","823,880",25.25%,100%,,,2020-08-19 12:01:00
Osceola,"53,891","226,348",23.81%,100%,,,2020-08-19 12:01:00
Palm Beach,"262,226","991,463",26.45%,98.62%,,,2020-08-19 12:01:00
Pasco,"79,538","378,157",21.03%,100%,,,2020-08-19 12:01:00
Pinellas,"214,411","687,592",31.18%,100%,,,2020-08-19 12:01:00
Polk,"103,261","452,202",22.84%,100%,,,2020-08-19 12:01:00
Putnam,"14,475","49,268",29.38%,100%,,,2020-08-19 12:01:00
Santa Rosa,"36,135","139,987",25.81%,100%,,,2020-08-19 12:01:00
Sarasota,"106,338","329,478",32.27%,100%,,,2020-08-19 12:01:00
Seminole,"80,151","324,452",24.7%,100%,,,2020-08-19 12:01:00
St. Johns,"58,887","200,886",29.31%,100%,,,2020-08-19 12:01:00
St. Lucie,"54,511","214,401",25.42%,100%,,,2020-08-19 12:01:00
Sumter,"43,734","101,944",42.9%,100%,,,2020-08-19 12:01:00
Suwannee,"10,017","26,867",37.28%,100%,,,2020-08-19 12:01:00
Taylor,"6,486","12,366",52.45%,100%,,,2020-08-19 12:01:00
Union,"3,526","7,659",46.04%,100%,,,2020-08-19 12:01:00
Volusia,"106,633","381,800",27.93%,100%,,,2020-08-19 12:01:00
Wakulla,"9,354","22,053",42.42%,100%,,,2020-08-19 12:01:00
Walton,"14,257","55,125",25.86%,100%,,,2020-08-19 12:01:00
Washington,"5,698","16,783",33.95%,100%,,,2020-08-19 12:01:00
